i	j	width	length	elev	max upcells
18	11	37.8300000000000	2.65796632102610	322.142857142857	5019
17	11	38.7814002021263	6.71367296913450	282.166666666667	10443
17	12	43.8900000000000	3.18652069822941	252.750000000000	10443
16	12	43.8900000000000	1.96786142191974	244.250000000000	10443
16	13	44.2404684699367	4.77815128556947	237.100000000000	10774
16	14	44.9713624234852	5.52678880738560	231	11219
16	15	45.5100000000000	4.52736818188622	220.444444444444	11219
16	16	45.6179448031872	4.65223191330612	212.222222222222	11538
16	17	48.1689288671094	5.72519188533631	207.454545454545	12615
16	18	50.3398462413269	5.02765467003705	199.909090909091	14009
16	19	51.7159205163210	5.49012157717741	194.555555555556	14338
16	20	52.6500000000000	1.95067420199841	188.333333333333	14338
15	20	91.1846654202880	6.66792733865830	185.363636363636	15605
14	20	100.470000000000	1.36673328264247	187.400000000000	15605
