i	j	width	length	elev	max upcells
10	35	33.5700000000000	5.47350760514967	316.300000000000	6084
10	34	33.5700000000000	1.62149864073949	304	6084
9	34	33.6435412310058	6.58106923952499	293.500000000000	6632
8	34	35.3200000000000	5.34537121823466	281.166666666667	6632
8	33	35.3983308627591	1.65890978771331	261.250000000000	7037
7	33	35.9103040169167	4.43480698619428	265.272727272727	7769
7	32	37.7200000000000	5.33952440216321	251.400000000000	7769
7	31	37.7200000000000	3.99596299025590	237.400000000000	7769
7	30	37.9000746056805	5.12726822880923	227	8116
7	29	39.7600000000000	3.59502688524100	226.428571428571	8116
8	29	39.7600000000000	1.28222446360761	214	8116
8	28	40.8688034880622	5.12918844355437	229.444444444444	9095
8	27	41.5000000000000	6.91225126969853	214.857142857143	9095
8	26	41.7514033494447	5.75821534304442	192.333333333333	9661
8	25	46.3204684403279	6.93587263643807	187.923076923077	12224
8	24	48.0600000000000	1.86143249071540	174.428571428571	12224
9	24	48.0600000000000	2.95242161001591	172.555555555556	12224
9	23	48.0600000000000	5.59551215573875	165.375000000000	12224
9	22	81.9943989640508	6.00851996534385	159.500000000000	13095
